Type;Length (m);OD (in);ID (in) / TFA (in2);Lin. weight (kg/m)
Bit;0.31;12.25;1.075;231.5
Steerable rotary tool;8.67;9.1;3;233.8
Steerable rotary tool;9.91;9.63;7.85;295.1
Stabilizer;2.14;8.5;3;295.1
MWD;5.8;8;2.81;231.5
MWD;8.46;8.25;5.9;137.5
Stabilizer;0.99;8.5;3;233.8
LWD;7.61;8.38;5;229.2
Stabilizer;2.42;8.5;2.75;233.8
Drill collar;9.42;8.69;2.81;255.9
Drill collar;19.11;8.25;2.81;238.1
Jar;9.68;8.25;3;186
Drill collar;28.62;8.25;2.81;238.1
HW drillpipe;37.28;5.5;3.25;77.8
Drillpipe;2330;5.5;4.67;36.8
