TVD (m);Pore pressure (s.g.);Fracture pressure (s.g.)
174.5;1.031;1.141
187.7;1.031;1.175
197.2;1.031;1.197
204.7;1.031;1.219
213.9;1.031;1.241
222.2;1.031;1.263
233.5;1.031;1.285
246.1;1.031;1.308
260.9;1.031;1.33
277.8;1.032;1.352
295.1;1.032;1.374
314.5;1.032;1.396
338.3;1.031;1.418
366.1;1.031;1.441
397.4;1.031;1.461
426.6;1.031;1.479
450.6;1.031;1.492
491.8;1.031;1.513
520.1;1.031;1.523
550.3;1.031;1.532
590.5;1.031;1.545
623.1;1.031;1.553
656.7;1.031;1.562
691.6;1.032;1.57
715.0;1.031;1.578
753.0;1.031;1.583
788.5;1.031;1.589
812.2;1.031;1.594
838.4;1.032;1.595
844.5;1.032;1.475
889.0;1.032;1.479
914.8;1.032;1.483
953.7;1.032;1.487
1003.0;1.031;1.49
1055.4;1.032;1.496
1062.2;1.032;1.618
1102.1;1.032;1.62
1136.3;1.032;1.622
1177.8;1.032;1.624
1183.7;1.033;1.5
1249.5;1.032;1.502
1254.4;1.032;1.614
1260.3;1.032;1.634
1268.8;1.032;1.677
1278.0;1.032;1.695
1307.1;1.032;1.7
1349.9;1.031;1.702
1391.3;1.031;1.704
1426.7;1.031;1.705
1456.0;1.031;1.705
1490.2;1.031;1.704
1526.9;1.031;1.706
1561.6;1.031;1.711
1594.6;1.03;1.71
1635.9;1.032;1.715
1678.4;1.031;1.717
1708.8;1.031;1.722
1754.8;1.031;1.721
1786.7;1.031;1.723
1817.4;1.031;1.723
1846.7;1.031;1.723
1879.3;1.031;1.722
1919.5;1.032;1.724
1969.4;1.031;1.723
2008.3;1.031;1.723
2037.1;1.032;1.723
2059.3;1.032;1.726
2092.8;1.032;1.731
2101.5;1.032;1.634
2135.5;1.032;1.642
2144.0;1.032;1.735
2186.7;1.031;1.742
2226.6;1.031;1.745
2264.0;1.031;1.747
2297.3;1.031;1.75
2327.9;1.031;1.753
2363.2;1.031;1.757
2404.1;1.032;1.76
2427.2;1.031;1.763
2454.6;1.031;1.764
2461.1;0.946;1.598
2498.1;0.931;1.599
2539.7;0.931;1.601
2573.0;0.93;1.603
2598.2;0.956;1.61
2605.7;1.03;1.777
2629.9;1.065;1.789
2663.5;1.092;1.802
2693.3;1.116;1.813
2721.3;1.164;1.827
2747.9;1.211;1.841
2779.4;1.23;1.85
2806.5;1.233;1.856
2845.2;1.228;1.861
2868.6;1.207;1.86
2902.1;1.181;1.859
2937.4;1.182;1.86
2971.7;1.203;1.869
3006.5;1.218;1.875
3068.5;1.224;1.884
3112.2;1.187;1.882
3143.9;1.154;1.876
3167.7;1.097;1.868
3171.1;1.096;1.836
3172.8;1.096;1.814
3176.2;1.096;1.79
3180.4;1.096;1.763
3215.0;1.097;1.763
3254.0;1.096;1.766
3295.7;1.094;1.771
3300.8;1.094;1.809
3302.8;1.093;1.844
3304.6;1.093;1.874
3340.7;1.091;1.878
3365.6;1.091;1.881
3398.7;1.091;1.883
