TVD (m);Pore pressure (s.g.);Fracture pressure (s.g.)
149.5;1.032;1.033
154.1;1.032;1.054
158.2;1.032;1.074
162.8;1.032;1.094
163.8;1.032;1.115
168.2;1.032;1.135
175.3;1.032;1.156
184.1;1.032;1.176
192.5;1.032;1.196
201.5;1.032;1.217
210.4;1.032;1.238
218.4;1.032;1.258
229.2;1.033;1.279
240.5;1.033;1.299
253.4;1.033;1.32
267.5;1.033;1.34
283.5;1.033;1.361
301.2;1.033;1.381
321.7;1.033;1.402
346;1.033;1.422
372.3;1.033;1.442
399.7;1.033;1.46
427;1.032;1.475
455.3;1.033;1.49
482.8;1.032;1.502
511.4;1.032;1.513
542.1;1.032;1.523
573.1;1.032;1.534
614.8;1.032;1.544
644.6;1.033;1.553
681.6;1.033;1.562
712.6;1.033;1.57
722.2;1.033;1.58
765.7;1.033;1.587
800.4;1.033;1.592
834.4;1.033;1.593
841.9;1.033;1.477
878.3;1.033;1.48
912;1.032;1.483
937.1;1.033;1.485
977.8;1.032;1.489
1012.8;1.032;1.491
1052.9;1.033;1.497
1056;1.033;1.527
1060.3;1.033;1.617
1102.9;1.035;1.621
1142.3;1.033;1.622
1176.1;1.032;1.621
1183.4;1.032;1.501
1251.1;1.032;1.502
1262.7;1.032;1.667
1309.9;1.032;1.67
1374.3;1.033;1.673
1405.6;1.033;1.675
1429.5;1.032;1.674
1469.3;1.033;1.675
1500.3;1.033;1.676
1534.2;1.033;1.678
1569.4;1.033;1.679
1603.7;1.032;1.682
1650.6;1.032;1.686
1681.3;1.032;1.688
1713.2;1.032;1.689
1741.9;1.032;1.689
1784.2;1.032;1.69
1830.2;1.033;1.693
1859.1;1.033;1.693
1899.8;1.033;1.692
1942.2;1.032;1.692
1967.9;1.031;1.692
2025.6;1.031;1.691
2073.5;1.032;1.696
2086;1.033;1.604
2101.2;1.033;1.606
2105.5;1.033;1.701
2141.6;1.032;1.704
2172;1.033;1.707
2207.5;1.033;1.711
2249.6;1.033;1.714
2297.7;1.033;1.719
2337.7;1.032;1.722
2375.2;1.031;1.725
2406.2;1.031;1.729
2447.5;1.031;1.733
2455.3;1.031;1.635
2502.9;1.032;1.636
2545.7;1.032;1.639
2570.4;1.032;1.639
2576.6;1.033;1.741
2598.5;1.035;1.746
2618.2;1.037;1.751
2649.3;1.044;1.758
2681.7;1.055;1.766
2713.4;1.078;1.777
2743.7;1.119;1.792
2773.7;1.161;1.807
2803;1.202;1.822
2831.4;1.242;1.836
2860.4;1.27;1.847
2897.5;1.298;1.858
2925;1.264;1.852
2953.3;1.228;1.845
2992.6;1.175;1.834
2995.1;1.171;1.811
2997.3;1.167;1.791
2999.6;1.161;1.762
3037.1;1.139;1.765
3089.7;1.135;1.77
3104.4;1.135;1.767
3122.7;1.134;1.771
3185.3;1.133;1.773
3228.1;1.133;1.774
3261.6;1.133;1.776
3314.5;1.132;1.778
3357.2;1.132;1.78
