TVD (m);Pore pressure (s.g.);Fracture pressure (s.g.)
227;0.806;1.178
252.9;0.827;1.259
288.2;0.85;1.347
316.4;0.864;1.409
344.6;0.876;1.459
381.5;0.889;1.491
413.6;0.9;1.508
446.4;0.909;1.523
484.4;0.916;1.538
522;0.924;1.551
552.7;0.93;1.561
587.9;0.935;1.573
621.2;0.94;1.582
656.9;0.944;1.596
689;0.948;1.602
729.4;0.953;1.612
770.1;0.956;1.623
806.7;0.96;1.631
842.7;0.963;1.64
882.8;0.966;1.648
926.3;0.969;1.655
974.4;0.972;1.663
1020.1;0.976;1.67
1069.7;0.976;1.677
1104.8;0.982;1.684
1143.7;0.983;1.693
1185;0.984;1.696
1207;0.984;1.699
1238.3;0.984;1.704
1265.2;0.984;1.708
1291.1;0.985;1.712
1314.8;0.987;1.715
1344.6;0.988;1.719
1371.2;0.988;1.723
1397;0.988;1.726
1426;0.988;1.729
1455.8;0.993;1.733
1481.8;0.992;1.734
1506.7;0.992;1.739
1532.1;0.992;1.739
1553;0.992;1.739
1574;0.992;1.739
1595;0.995;1.739
1615.9;0.995;1.739
1636.9;0.995;1.739
1657.8;0.995;1.739
1678.8;0.995;1.739
1699.8;0.995;1.739
1720.7;0.995;1.739
1741.7;0.994;1.739
1762.7;0.997;1.739
1783.6;0.999;1.739
1797;0.999;1.737
1822.5;0.999;1.736
1849.7;0.999;1.735
1870.7;0.999;1.735
1891.6;0.999;1.735
1912.6;0.999;1.735
1933.5;0.999;1.735
1954.5;0.998;1.735
1970.4;1.001;1.733
1992.7;1.003;1.73
2022;1.003;1.734
2056.2;1.003;1.74
2091.4;1.003;1.744
2116.7;1.002;1.747
2146.7;1.002;1.751
2175.5;1.003;1.755
2201.2;1.003;1.757
2230.9;1.004;1.761
2254.4;1.006;1.764
2259.2;1.006;1.73
2276.8;1.005;1.727
2282.4;1.005;1.627
2305.7;1.005;1.628
2310.4;1.005;1.769
2327.6;1.005;1.774
2356.1;1.005;1.775
2381.3;1.005;1.778
2417.7;1.005;1.783
2445;1.005;1.783
2462.5;1.007;1.789
2483.1;0.989;1.79
2488.3;0.869;1.723
2513.8;0.868;1.724
2543.5;0.867;1.728
2576.2;0.867;1.732
2621.5;0.87;1.736
2627.4;1.007;1.804
2654.6;1.023;1.814
2685;1.029;1.821
2716.9;1.032;1.825
2740.2;1.036;1.829
2765.4;1.037;1.832
2790.9;1.037;1.834
2820.7;1.043;1.833
2856.7;1.058;1.84
2884.9;1.083;1.852
2909.9;1.107;1.861
2929.1;1.126;1.867
2956.1;1.154;1.878
2976.1;1.177;1.889
3000.3;1.198;1.897
3025.8;1.213;1.903
3049;1.231;1.911
3074.5;1.273;1.924
3109.6;1.282;1.938
3114;1.242;1.817
3157.8;1.117;1.819
3164.4;1.137;1.837
3193.7;1.136;1.837
3217.4;1.135;1.841
3241.6;1.135;1.843
3270.8;1.135;1.844
