TVD (m);Pore pressure (s.g.);Fracture pressure (s.g.)
251.6;0.814;1.117
267.8;0.827;1.156
285.6;0.842;1.196
306.3;0.856;1.235
330.2;0.87;1.275
358.3;0.885;1.314
391.6;0.898;1.353
426.7;0.911;1.389
462;0.92;1.42
498;0.929;1.446
535.3;0.938;1.47
574;0.946;1.491
614.6;0.953;1.511
652.6;0.958;1.527
690.1;0.963;1.541
726.1;0.968;1.554
764;0.973;1.565
800.3;0.975;1.575
839.6;0.977;1.584
885.4;0.983;1.596
928.4;0.984;1.606
963.6;0.987;1.613
1000.8;0.99;1.62
1040.1;0.993;1.627
1076.4;0.995;1.633
1114.4;0.995;1.64
1164.6;0.999;1.646
1213.7;1.001;1.653
1262;1.003;1.659
1302.8;1.006;1.664
1346.5;1.007;1.668
1389.1;1.006;1.675
1443.5;1.006;1.681
1495;1.006;1.688
1535.8;1.006;1.691
1583.4;1.006;1.699
1621.5;1.005;1.704
1661.5;1.011;1.711
1704.5;1.028;1.72
1741.5;1.05;1.728
1775.3;1.081;1.742
1812.4;1.123;1.754
1850.1;1.154;1.765
1891.9;1.184;1.775
1932.2;1.22;1.79
1970.4;1.254;1.801
2007.4;1.276;1.81
2042.8;1.291;1.817
2079.4;1.301;1.824
2118.9;1.306;1.83
2169.3;1.304;1.836
2223.4;1.29;1.84
2252.5;1.278;1.84
2291.6;1.239;1.839
2346.8;1.182;1.834
2394.5;1.142;1.833
2435.5;1.121;1.832
2487.6;1.119;1.836
2533.6;1.128;1.843
2578.7;1.15;1.853
2620;1.164;1.86
2654.6;1.175;1.865
2698;1.191;1.874
2738.8;1.204;1.88
2780.5;1.219;1.888
2824.4;1.234;1.896
2861.4;1.246;1.903
2897.8;1.258;1.91
2934.1;1.272;1.917
2970.9;1.278;1.923
3026.8;1.278;1.926
3097.6;1.274;1.929
3147.3;1.259;1.93
