TVD (m);Pore pressure (s.g.);Fracture pressure (s.g.)
282.3;0.82;1.408
317;0.845;1.433
348.4;0.862;1.456
377.6;0.875;1.474
417.5;0.888;1.493
462.2;0.902;1.514
496.5;0.911;1.528
530.2;0.92;1.542
565;0.926;1.555
600;0.933;1.567
638.9;0.939;1.579
674.9;0.943;1.59
714.5;0.947;1.6
751.9;0.954;1.613
789.8;0.956;1.623
822.7;0.959;1.628
858.1;0.962;1.637
891.3;0.966;1.643
923.2;0.968;1.65
963.7;0.971;1.659
1005.3;0.974;1.668
1048;0.977;1.676
1088.7;0.978;1.682
1127.8;0.981;1.689
1167;0.982;1.696
1211.9;0.983;1.703
1259.9;0.986;1.709
1296.5;0.986;1.713
1338.6;0.986;1.72
1381.2;0.99;1.726
1420.6;0.989;1.729
1456.5;0.99;1.735
1487.9;0.992;1.738
1530.9;0.992;1.738
1560.4;0.993;1.742
1595.2;0.995;1.738
1638.8;0.996;1.739
1680.9;0.997;1.738
1710.3;0.996;1.738
1741.9;0.997;1.738
1774.4;0.999;1.738
1804;1;1.736
1836.1;1;1.736
1883.7;1;1.735
1931.4;1;1.735
1963.1;1;1.735
2003.5;1.002;1.735
2039.7;1.004;1.739
2080.1;1.004;1.744
2117.3;1.004;1.748
2157.9;1.004;1.754
2199;1.004;1.758
2233;1.004;1.763
2260.3;1.005;1.765
2268;1.005;1.607
2338.9;1.006;1.607
2343.9;1.006;1.773
2396.9;1.006;1.781
2429.4;1.006;1.784
2467.2;0.986;1.789
2473.6;0.889;1.716
2515.9;0.873;1.721
2548.8;0.873;1.724
2606.7;0.888;1.729
2613.1;0.988;1.805
2641.1;1.015;1.812
2699.7;1.032;1.825
2737.3;1.036;1.83
2785.5;1.04;1.837
2827.6;1.055;1.848
2863;1.124;1.885
2897.8;1.184;1.918
2918.1;1.26;1.952
2966.4;1.275;1.969
3004.9;1.284;1.976
3042.8;1.286;1.981
3080.6;1.288;1.985
3091.8;1.186;1.936
3097.7;1.083;1.897
3104.1;1.02;1.846
3154.8;1.013;1.849
3194.2;1.014;1.85
3238.6;1.01;1.855
3246.1;1.131;1.923
3282.8;1.136;1.926
