TVD (m);Pore pressure (s.g.);Fracture pressure (s.g.)
271.9;0.812;1.319
295;0.83;1.37
321.4;0.847;1.421
341.7;0.858;1.45
362.5;0.869;1.466
384.2;0.878;1.476
410.1;0.886;1.489
436.4;0.896;1.503
457.5;0.903;1.512
483.7;0.91;1.524
512;0.916;1.535
533.9;0.921;1.543
552.7;0.926;1.549
571.2;0.929;1.557
590.2;0.931;1.561
612;0.935;1.572
635.3;0.939;1.577
658.4;0.943;1.584
684.9;0.945;1.592
712.5;0.949;1.601
737.3;0.952;1.607
759.7;0.955;1.613
784.4;0.958;1.62
807.7;0.96;1.624
834.8;0.963;1.629
852.9;0.963;1.635
878.7;0.968;1.641
901.7;0.969;1.644
925.6;0.969;1.652
949.5;0.971;1.656
970.7;0.972;1.659
1003;0.975;1.667
1027.7;0.978;1.67
1048.9;0.978;1.675
1082.6;0.978;1.684
1112.1;0.98;1.686
1134.9;0.98;1.691
1158.9;0.981;1.693
1179.5;0.983;1.696
1202.8;0.984;1.701
1238.7;0.986;1.705
1271.8;0.986;1.71
1299.6;0.987;1.713
1323.8;0.988;1.713
1361.3;0.99;1.715
1403.2;0.994;1.716
