TVD (m);Temperature (degC);Medium
0;10;Air
25;10;Water
50;9.5;Water
75;9;Water
100;8.5;Water
110;8.3;Solid
125;9.1;Solid
150;10.5;Solid
175;11.8;Solid
200;13.1;Solid
225;14.5;Solid
250;15.8;Solid
275;17.2;Solid
300;18.5;Solid
325;19.9;Solid
350;21.2;Solid
375;22.6;Solid
400;23.9;Solid
425;25.2;Solid
450;26.6;Solid
475;27.9;Solid
500;29.3;Solid
525;30.2;Solid
550;31.1;Solid
575;32;Solid
600;32.9;Solid
625;33.8;Solid
650;34.8;Solid
675;35.7;Solid
700;36.6;Solid
725;37.5;Solid
750;38.4;Solid
775;39.3;Solid
800;40.2;Solid
825;41.1;Solid
850;42.1;Solid
875;43;Solid
900;43.9;Solid
925;44.8;Solid
950;45.7;Solid
975;46.6;Solid
1000;47.5;Solid
1025;48.4;Solid
1050;49.4;Solid
1075;50.3;Solid
1100;51.2;Solid
1125;52.1;Solid
1150;53;Solid
1175;53.9;Solid
1200;54.8;Solid
1225;55.7;Solid
1250;56.7;Solid
1275;57.6;Solid
1300;58.5;Solid
1325;59.4;Solid
1350;60.3;Solid
1375;61.2;Solid
1400;62.1;Solid
1425;63;Solid
1450;64;Solid
1475;64.9;Solid
1500;65.8;Solid
1525;66.7;Solid
1550;67.6;Solid
1575;68.5;Solid
1600;69.4;Solid
1625;70.3;Solid
1650;71.3;Solid
1675;72.2;Solid
1700;73.1;Solid
1725;74;Solid
1750;74.9;Solid
1775;75.8;Solid
1800;76.7;Solid
1825;77.6;Solid
1850;78.6;Solid
1875;79.5;Solid
1900;80.4;Solid
1925;81.3;Solid
1950;82.2;Solid
1975;83.1;Solid
2000;84;Solid
2025;84.9;Solid
2050;85.9;Solid
2075;86.8;Solid
2100;87.7;Solid
2125;88.6;Solid
2150;89.5;Solid
2175;90.4;Solid
2200;91.3;Solid
2225;92.2;Solid
2250;93.2;Solid
2275;94.1;Solid
2300;95;Solid
2325;95.9;Solid
2350;96.8;Solid
2375;97.7;Solid
2400;98.6;Solid
2420;99.4;Solid
2450;100.2;Solid
2475;100.9;Solid
2500;101.5;Solid
2525;102.2;Solid
2550;102.9;Solid
2575;103.6;Solid
2600;104.3;Solid
2625;104.9;Solid
2650;105.6;Solid
2675;106.3;Solid
2700;107;Solid
2725;107.7;Solid
2750;108.3;Solid
2775;109;Solid
2800;109.7;Solid
2825;110.4;Solid
2850;111.1;Solid
2875;111.7;Solid
2900;112.4;Solid
2925;113.1;Solid
2950;113.8;Solid
2975;114.5;Solid
3000;115.1;Solid
3025;115.8;Solid
3050;116.5;Solid
3075;117.2;Solid
3100;117.9;Solid
3125;118.5;Solid
3150;119.2;Solid
3175;119.9;Solid
3200;120.6;Solid
3225;121.3;Solid
3250;121.9;Solid
3275;122.6;Solid
3300;123.3;Solid
3325;124;Solid
3350;124.7;Solid
3375;125.3;Solid
3400;125.9;Solid
