TVD (m);Temperature (degC);Medium
0;10;Air
22;10;Water
50;9.4;Water
75;8.9;Water
106;8.3;Water
125;9.3;Solid
150;10.7;Solid
175;12;Solid
200;13.4;Solid
225;14.7;Solid
250;16.1;Solid
275;17.4;Solid
300;18.8;Solid
325;20.1;Solid
350;21.4;Solid
375;22.8;Solid
400;24.1;Solid
425;25.5;Solid
450;26.8;Solid
475;28.2;Solid
500;29.5;Solid
525;30.4;Solid
550;31.3;Solid
575;32.3;Solid
600;33.2;Solid
625;34.1;Solid
650;35;Solid
675;35.9;Solid
700;36.8;Solid
725;37.7;Solid
750;38.6;Solid
775;39.6;Solid
800;40.5;Solid
825;41.4;Solid
850;42.3;Solid
875;43.2;Solid
900;44.1;Solid
925;45;Solid
950;45.9;Solid
975;46.9;Solid
1000;47.8;Solid
1025;48.7;Solid
1050;49.6;Solid
1075;50.5;Solid
1100;51.4;Solid
1125;52.3;Solid
1150;53.2;Solid
1175;54.2;Solid
1200;55.1;Solid
1225;56;Solid
1250;56.9;Solid
1275;57.8;Solid
1300;58.7;Solid
1325;59.6;Solid
1350;60.5;Solid
1375;61.5;Solid
1400;62.4;Solid
1425;63.3;Solid
1450;64.2;Solid
1475;65.1;Solid
1500;66;Solid
1525;66.9;Solid
1550;67.8;Solid
1575;68.8;Solid
1600;69.7;Solid
1625;70.6;Solid
1650;71.5;Solid
1675;72.4;Solid
1700;73.3;Solid
1725;74.2;Solid
1750;75.1;Solid
1775;76.1;Solid
1800;77;Solid
1825;77.9;Solid
1850;78.8;Solid
1875;79.7;Solid
1900;80.6;Solid
1925;81.5;Solid
1950;82.4;Solid
1975;83.4;Solid
2000;84.3;Solid
2025;85.2;Solid
2050;86.1;Solid
2075;87;Solid
2100;87.9;Solid
2125;88.8;Solid
2150;89.7;Solid
2175;90.7;Solid
2200;91.6;Solid
2225;92.5;Solid
2250;93.4;Solid
2275;94.3;Solid
2300;95.2;Solid
2325;96.1;Solid
2350;97;Solid
2375;98;Solid
2400;98.9;Solid
2420;99.6;Solid
2450;100.4;Solid
2475;101.1;Solid
2500;101.8;Solid
2525;102.4;Solid
2550;103.1;Solid
2575;103.8;Solid
2600;104.5;Solid
2625;105.2;Solid
2650;105.8;Solid
2675;106.5;Solid
2700;107.2;Solid
2725;107.9;Solid
2750;108.5;Solid
2775;109.2;Solid
2800;109.9;Solid
2825;110.6;Solid
2850;111.3;Solid
2875;111.9;Solid
2900;112.6;Solid
2925;113.3;Solid
2950;114;Solid
2975;114.6;Solid
3000;115.3;Solid
3025;116;Solid
3050;116.7;Solid
3075;117.3;Solid
3100;118;Solid
3125;118.7;Solid
3150;119.4;Solid
3175;120.1;Solid
3200;120.7;Solid
3225;121.4;Solid
3250;122.1;Solid
3275;122.8;Solid
3300;123.4;Solid
3325;124.1;Solid
3350;124.8;Solid
3375;125.5;Solid
3400;126.2;Solid
