TVD (m);Temperature (degC);Medium
0;10;Air
25;10;Air
55;10;Water
75;9.6;Water
100;9.1;Water
125;8.6;Water
146;8.2;Solid
175;9.3;Solid
200;10.2;Solid
225;11.1;Solid
250;12.1;Solid
275;13;Solid
300;14;Solid
325;14.9;Solid
350;15.8;Solid
375;16.8;Solid
400;17.7;Solid
425;18.6;Solid
450;19.6;Solid
475;20.5;Solid
500;21.5;Solid
525;22.4;Solid
550;23.3;Solid
575;24.3;Solid
600;25.2;Solid
625;26.1;Solid
650;27.1;Solid
675;28;Solid
700;29;Solid
725;29.9;Solid
750;30.8;Solid
775;31.8;Solid
800;32.7;Solid
825;33.6;Solid
850;34.6;Solid
875;35.5;Solid
900;36.5;Solid
925;37.4;Solid
950;38.3;Solid
975;39.3;Solid
1000;40.2;Solid
1025;41.1;Solid
1050;42.1;Solid
1075;43;Solid
1100;44;Solid
1125;44.9;Solid
1150;45.8;Solid
1175;46.8;Solid
1200;47.7;Solid
1225;48.6;Solid
1250;49.6;Solid
1275;50.5;Solid
1300;51.5;Solid
1325;52.4;Solid
1350;53.3;Solid
1375;54.3;Solid
1400;55.2;Solid
1425;56.1;Solid
1450;57.1;Solid
1475;58;Solid
1500;59;Solid
1525;59.9;Solid
1550;60.8;Solid
1575;61.8;Solid
1600;62.7;Solid
1625;63.6;Solid
1650;64.6;Solid
1675;65.5;Solid
1700;66.5;Solid
1725;67.4;Solid
1750;68.3;Solid
1775;69.3;Solid
1800;70.2;Solid
1825;71.1;Solid
1850;72.1;Solid
1875;73;Solid
1900;74;Solid
1925;74.9;Solid
1950;75.8;Solid
1975;76.8;Solid
2000;77.7;Solid
2025;78.6;Solid
2050;79.6;Solid
2075;80.5;Solid
2100;81.5;Solid
2125;82.4;Solid
2150;83.3;Solid
2175;84.3;Solid
2200;85.2;Solid
2225;86.1;Solid
2250;87.1;Solid
2275;88;Solid
2300;89;Solid
2325;89.9;Solid
2350;90.8;Solid
2375;91.8;Solid
2400;92.7;Solid
2425;93.6;Solid
2450;94.6;Solid
2475;95.5;Solid
2500;96.5;Solid
2525;97.4;Solid
2550;98.3;Solid
2575;99.3;Solid
2600;100.2;Solid
2625;101.1;Solid
2650;102.1;Solid
2675;103;Solid
2700;104;Solid
2725;104.9;Solid
2750;105.8;Solid
2775;106.8;Solid
2800;107.7;Solid
2825;108.3;Solid
2850;109;Solid
2875;109.6;Solid
2900;110.2;Solid
2925;110.8;Solid
2950;111.5;Solid
2975;112.1;Solid
3000;112.7;Solid
3025;113.3;Solid
3050;114;Solid
3075;114.6;Solid
3100;115.2;Solid
3125;115.8;Solid
3150;116.5;Solid
3175;117.1;Solid
3200;117.7;Solid
3225;118.3;Solid
3250;119;Solid
3275;119.6;Solid
3300;120.2;Solid
3325;120.8;Solid
3350;121.5;Solid
3375;122.1;Solid
3400;122.7;Solid
