MD (m RKB);TVD (m RKB);E/W (m);N/S (m);Section (in)
145.9;145.9;-0.926;4.651;30
150;150;-0.929;4.648;30
160;160;-0.947;4.631;30
170;170;-0.972;4.608;30
180;180;-1;4.584;30
190;190;-1.031;4.559;30
200;200;-1.063;4.536;30
202;202;-1.07;4.531;30
202;202;-1.07;4.531;20
210;210;-1.096;4.513;20
220;220;-1.138;4.486;20
230;230;-1.197;4.455;20
240;240;-1.278;4.424;20
250;250;-1.405;4.416;20
260;260;-1.58;4.45;20
270;270;-1.771;4.508;20
280;280;-1.965;4.576;20
290;290;-2.163;4.654;20
300;300;-2.359;4.738;20
310;310;-2.55;4.822;20
320;320;-2.737;4.904;20
330;330;-2.921;4.978;20
340;340;-3.102;5.047;20
350;350;-3.281;5.111;20
360;360;-3.459;5.169;20
370;370;-3.64;5.225;20
380;380;-3.83;5.286;20
390;390;-4.034;5.369;20
400;400;-4.265;5.5;20
410;410;-4.523;5.677;20
420;420;-4.788;5.87;20
430;430;-5.059;6.068;20
440;439.9;-5.336;6.273;20
450;449.9;-5.615;6.483;20
460;459.9;-5.894;6.693;20
470;469.9;-6.172;6.906;20
480;479.9;-6.454;7.126;20
490;489.9;-6.736;7.347;20
500;499.9;-7.017;7.574;20
510;509.9;-7.3;7.81;20
520;519.9;-7.586;8.043;20
530;529.9;-7.872;8.273;20
540;539.9;-8.157;8.506;20
550;549.9;-8.443;8.744;20
560;559.9;-8.73;8.978;20
570;569.9;-9.018;9.212;20
580;579.9;-9.308;9.448;20
590;589.9;-9.598;9.686;20
600;599.8;-9.889;9.925;20
610;609.8;-10.184;10.162;20
620;619.8;-10.478;10.391;20
630;629.8;-10.773;10.599;20
640;639.8;-11.063;10.731;20
650;649.8;-11.346;10.781;20
660;659.8;-11.633;10.801;20
670;669.8;-11.932;10.827;20
680;679.8;-12.271;10.829;20
690;689.8;-12.664;10.774;20
700;699.8;-13.109;10.678;20
710;709.8;-13.609;10.536;20
720;719.7;-14.19;10.301;20
730;729.7;-14.865;9.96;20
740;739.7;-15.626;9.527;20
750;749.6;-16.473;9.006;20
760;759.6;-17.415;8.392;20
770;769.5;-18.465;7.681;20
780;779.4;-19.618;6.893;20
790;789.3;-20.89;6.028;20
800;799.1;-22.303;5.089;20
810;809;-23.839;4.107;20
820;818.8;-25.478;3.111;20
830;828.6;-27.24;2.133;20
840;838.3;-29.131;1.223;20
850;848.1;-31.119;0.407;20
860;857.9;-33.189;-0.307;20
870;867.6;-35.322;-0.913;20
880;877.4;-37.473;-1.442;20
890;887.1;-39.607;-1.932;20
900;896.9;-41.7;-2.384;20
910;906.7;-43.707;-2.767;20
920;916.5;-45.617;-3.069;20
930;926.3;-47.481;-3.317;20
940;936.1;-49.32;-3.527;20
950;946;-51.143;-3.71;20
960;955.8;-52.962;-3.871;20
970;965.6;-54.779;-4.009;20
980;975.5;-56.585;-4.108;20
990;985.3;-58.378;-4.139;20
1000;995.1;-60.166;-4.095;20
1010;1005;-61.954;-4.004;20
1020;1014.8;-63.749;-3.879;20
1030;1024.7;-65.553;-3.721;20
1040;1034.5;-67.363;-3.55;20
1050;1044.3;-69.173;-3.371;20
1060;1054.2;-70.997;-3.166;20
1070;1064;-72.858;-2.904;20
1080;1073.8;-74.776;-2.564;20
1090;1083.6;-76.762;-2.125;20
1100;1093.3;-78.851;-1.543;20
1110;1103.1;-81.081;-0.791;20
1120;1112.7;-83.452;0.096;20
1130;1122.4;-85.973;1.086;20
1140;1131.9;-88.718;2.187;20
1150;1141.4;-91.703;3.379;20
1160;1150.8;-94.856;4.609;20
1170;1160.2;-98.143;5.848;20
1180;1169.5;-101.571;7.069;20
1190;1178.7;-105.107;8.258;20
1200;1188;-108.699;9.418;20
1210;1197.2;-112.344;10.538;20
1220;1206.5;-116.046;11.602;20
1230;1215.7;-119.794;12.613;20
1240;1224.9;-123.567;13.597;20
1250;1234.1;-127.357;14.577;20
1260;1243.3;-131.149;15.557;20
1270;1252.5;-134.889;16.514;20
1280;1261.8;-138.557;17.444;20
1290;1271.1;-142.153;18.354;20
1300;1280.4;-145.665;19.231;20
1310;1289.7;-149.128;20.077;20
1320;1299.1;-152.586;20.916;20
1330;1308.4;-156.057;21.762;20
1340;1317.7;-159.567;22.61;20
1350;1327.1;-163.127;23.451;20
1358;1334.5;-166.022;24.113;20
1358;1334.5;-166.022;24.113;14
1360;1336.3;-166.746;24.278;14
1370;1345.6;-170.445;25.056;14
1380;1354.8;-174.269;25.71;14
1390;1364;-178.229;26.214;14
1400;1373.1;-182.307;26.6;14
1410;1382.2;-186.522;26.832;14
1420;1391.2;-190.888;26.863;14
1430;1400.1;-195.392;26.695;14
1440;1409;-200.007;26.335;14
1450;1417.8;-204.719;25.769;14
1460;1426.5;-209.524;25.011;14
1470;1435.2;-214.403;24.153;14
1480;1443.8;-219.347;23.257;14
1490;1452.4;-224.384;22.327;14
1500;1460.9;-229.527;21.371;14
1510;1469.4;-234.751;20.389;14
1520;1477.8;-240.036;19.389;14
1530;1486.2;-245.383;18.38;14
1540;1494.6;-250.78;17.366;14
1550;1502.9;-256.207;16.355;14
1560;1511.2;-261.674;15.343;14
1570;1519.5;-267.172;14.319;14
1580;1527.8;-272.669;13.268;14
1590;1536.1;-278.159;12.187;14
1600;1544.4;-283.641;11.083;14
1610;1552.7;-289.118;9.966;14
1620;1561;-294.611;8.844;14
1630;1569.2;-300.13;7.713;14
1640;1577.5;-305.663;6.563;14
1650;1585.7;-311.194;5.39;14
1660;1594;-316.715;4.199;14
1670;1602.2;-322.225;3;14
1680;1610.5;-327.726;1.799;14
1690;1618.8;-333.222;0.598;14
1700;1627;-338.722;-0.604;14
1710;1635.3;-344.235;-1.812;14
1720;1643.6;-349.727;-3.025;14
1730;1651.9;-355.127;-4.21;14
1740;1660.3;-360.414;-5.333;14
1750;1668.8;-365.606;-6.391;14
1760;1677.3;-370.679;-7.377;14
1770;1686;-375.616;-8.288;14
1780;1694.7;-380.445;-9.147;14
1790;1703.5;-385.19;-9.977;14
1800;1712.3;-389.82;-10.778;14
1810;1721.2;-394.29;-11.53;14
1820;1730.2;-398.621;-12.237;14
1830;1739.2;-402.857;-12.91;14
1840;1748.3;-406.987;-13.548;14
1850;1757.5;-410.984;-14.161;14
1860;1766.7;-414.859;-14.776;14
1870;1775.9;-418.611;-15.396;14
1880;1785.2;-422.218;-15.997;14
1890;1794.6;-425.692;-16.56;14
1900;1804;-429.062;-17.081;14
1910;1813.4;-432.338;-17.566;14
1920;1822.9;-435.494;-18.012;14
1930;1832.4;-438.513;-18.422;14
1940;1842;-441.403;-18.796;14
1950;1851.6;-444.155;-19.126;14
1960;1861.2;-446.746;-19.392;14
1970;1870.9;-449.184;-19.6;14
1980;1880.7;-451.501;-19.778;14
1990;1890.4;-453.679;-19.935;14
2000;1900.2;-455.669;-20.067;14
2010;1910.1;-457.483;-20.164;14
2020;1919.9;-459.161;-20.216;14
2030;1929.8;-460.704;-20.217;14
2040;1939.7;-462.094;-20.164;14
2050;1949.6;-463.343;-20.071;14
2060;1959.6;-464.481;-19.946;14
2070;1969.5;-465.505;-19.768;14
2080;1979.5;-466.421;-19.521;14
2090;1989.4;-467.238;-19.219;14
2100;1999.4;-467.944;-18.885;14
2110;2009.4;-468.503;-18.54;14
2120;2019.3;-468.909;-18.178;14
2130;2029.3;-469.204;-17.783;14
2140;2039.3;-469.412;-17.333;14
2150;2049.3;-469.517;-16.796;14
