MD (m RKB);TVD (m RKB);E/W (m);N/S (m);Section (in)
145.9;145.9;3.532;-3.169;30
153.4;153.4;3.523;-3.172;30
221;221;3.531;-3.333;30
221;221;3.531;-3.333;20
234.2;234.2;3.532;-3.365;20
274.6;274.6;3.777;-3.646;20
315;315;4.371;-4.163;20
355.3;355.3;5.767;-5.153;20
395.7;395.5;8.206;-6.912;20
436.1;435.8;10.921;-9.467;20
474.4;473.9;12.999;-12.52;20
514.8;514.1;14.553;-16.355;20
557.1;556.1;15.588;-21.099;20
597.5;596.2;16.223;-26.252;20
637.8;636.1;16.787;-31.912;20
678.2;676;17.313;-38.011;20
718.5;715.8;17.701;-44.4;20
758.9;755.6;17.502;-51.243;20
799.3;795.2;16.18;-58.857;20
839.7;834.6;13.636;-67.417;20
880;873.7;10.142;-76.815;20
920.4;912.8;6.31;-86.123;20
960.8;952;2.573;-95.245;20
1001.1;990.8;-1.281;-105.315;20
1041.6;1029.7;-5.366;-116.01;20
1081.9;1068.3;-9.809;-126.371;20
1122.3;1107;-15.426;-136.633;20
1162.6;1145.4;-22.662;-146.39;20
1203;1184.1;-30.997;-154.571;20
1243.3;1222.9;-39.524;-161.354;20
1283.8;1261.7;-49.087;-168.032;20
1324.1;1299.6;-60.743;-174.978;20
1364.5;1336.8;-74.67;-182.344;20
1368;1340;-75.914;-182.952;20
1368;1340;-75.914;-182.952;13.375
1389.4;1359.7;-83.52;-186.666;13.375
1409.8;1378.6;-90.47;-189.555;13.375
1469.5;1434.6;-110.82;-194.007;13.375
1510;1472.8;-124.084;-194.105;13.375
1551;1512;-136.228;-192.704;13.375
1591;1550.5;-146.472;-189.567;13.375
1631.1;1589.2;-155.284;-184.093;13.375
1672.1;1628.7;-163.248;-176.731;13.375
1712.7;1667.7;-170.503;-168.051;13.375
1753.2;1706.3;-176.71;-157.315;13.375
1792.9;1743.6;-181.25;-144.696;13.375
1833.5;1781.3;-184.272;-129.94;13.375
1874;1818.3;-185.792;-113.436;13.375
1914.8;1854.9;-185.81;-95.387;13.375
1955.1;1890.3;-184.862;-76.146;13.375
1995.5;1925.2;-183.597;-55.937;13.375
2035.6;1959.9;-182.135;-35.813;13.375
2075.6;1994.4;-180.562;-15.751;13.375
2116;2029.4;-179.075;4.391;13.375
2156.5;2064.6;-177.777;24.458;13.375
2196.7;2099.5;-176.425;44.366;13.375
2277.4;2169.5;-173.291;84.318;13.375
2318.1;2204.8;-171.832;104.513;13.375
2334.7;2219.2;-171.3;112.762;13.375
2398.9;2274.9;-167.702;144.539;13.375
2438.6;2309.3;-163.864;163.987;13.375
2477.5;2343;-158.655;182.699;13.375
2519.9;2379.7;-150.881;202.368;13.375
2560.9;2415.2;-140.929;220.393;13.375
2599.9;2448.9;-129.903;236.595;13.375
2612;2459.4;-126.268;241.457;13.375
2612;2459.4;-126.268;241.457;9.625
2630.6;2475.5;-120.68;248.931;9.625
2670.5;2509.2;-107.004;265.251;9.625
2711.4;2542.1;-90.265;282.819;9.625
2752.1;2573.1;-71.349;301.089;9.625
2792.4;2602.1;-50.717;320.009;9.625
2832.7;2629;-28.499;340.199;9.625
2873.3;2653.6;-4.856;362.14;9.625
2913.3;2675.4;19.521;385.183;9.625
2953.6;2695;45.505;408.969;9.625
2993.3;2713.1;72.753;431.446;9.625
3033.8;2731.5;102.124;452.361;9.625
3074.5;2750;133.174;471.055;9.625
3114.7;2768.1;165.439;486.738;9.625
3154.9;2786;199.056;499.521;9.625
3195.2;2804;233.657;509.717;9.625
3235.3;2821.3;269.063;516.97;9.625
3275.1;2837.5;305.183;521.153;9.625
3295;2845.2;323.498;521.945;9.625
3295;2845.2;323.498;521.945;7
3354.3;2868.3;378.075;524.306;7
3395.5;2883.6;416.298;523.515;7
3436.6;2898.1;454.626;520.259;7
3477.6;2911.7;492.78;514.02;7
3516.5;2923.1;528.78;504.762;7
3556.8;2934.3;565.77;493.327;7
3597.7;2944.9;603.45;481.522;7
3637.6;2953.5;640.615;469.85;7
3678.5;2961.4;678.836;457.564;7
3718.3;2968.9;716.123;445.892;7
3758.8;2978.7;753.977;435.354;7
3798.6;2991.4;790.424;425.754;7
3834.9;3005.4;822.579;416.303;7
3878.4;3023.1;860.232;403.656;7
3918.7;3039.5;894.952;391.423;7
3959.1;3055.2;929.791;378.367;7
3999.8;3069.3;965.279;364.302;7
4041.1;3081.3;1001.934;349.561;7
4081.4;3091.8;1038.079;335.155;7
4121.4;3102.2;1074.267;321.647;7
4161.6;3112;1110.99;308.52;7
4174.2;3114.8;1122.565;304.421;7
4202.3;3120.6;1148.547;295.457;7
4242.1;3128.3;1185.698;283.404;7
4282.7;3136;1223.824;271.817;7
4322.7;3143.7;1261.455;260.638;7
4362.4;3151.8;1298.683;249.476;7
4403.7;3161.3;1337.107;237.678;7
4443.4;3170;1374.04;226.014;7
4483.8;3177.8;1411.756;213.803;7
4524.2;3185.9;1449.431;201.717;7
4564.9;3193.8;1487.475;189.594;7
4605.4;3200.1;1525.486;177.125;7
4645.7;3205.7;1563.352;164.511;7
4671;3209.8;1587.123;156.868;7
4684;3212.1;1599.328;153.074;7
