MD (m RKB);TVD (m RKB);E/W (m);N/S (m);Section (in)
145.9;145.9;-1.114;1.956;30
160;160;-1.142;1.958;30
170;170;-1.185;1.961;30
180;180;-1.234;1.958;30
190;190;-1.279;1.954;30
199;199;-1.321;1.949;30
202;202;-1.335;1.942;30
202;202;-1.335;1.942;13.375
208;208;-1.363;1.928;13.375
218;218;-1.415;1.894;13.375
229;229;-1.472;1.87;13.375
240;240;-1.528;1.833;13.375
250;250;-1.576;1.818;13.375
259;259;-1.599;1.845;13.375
270;270;-1.603;1.866;13.375
280;280;-1.592;1.895;13.375
289;289;-1.568;1.937;13.375
296;296;-1.568;1.953;13.375
305;305;-1.603;1.962;13.375
317;317;-1.651;1.965;13.375
349.6;349.6;-1.837;1.962;13.375
359.4;359.4;-1.905;1.987;13.375
368.3;368.3;-1.958;2.02;13.375
387.9;387.9;-2.117;2.059;13.375
408.6;408.6;-2.293;2.086;13.375
437.4;437.4;-2.545;2.1;13.375
465.1;465.1;-2.835;2.065;13.375
489.1;489.1;-3.419;2.076;13.375
516;516;-4.523;2.208;13.375
545.9;545.9;-5.926;2.254;13.375
569.3;569.2;-7.281;2.178;13.375
609.6;609.4;-10.442;1.919;13.375
650.6;650.1;-14.882;1.212;13.375
690.3;689.4;-20.485;0.284;13.375
730.2;728.8;-26.465;-0.672;13.375
770.8;768.9;-32.686;-1.941;13.375
809.8;807.4;-38.922;-3.317;13.375
851.6;848.6;-45.526;-4.603;13.375
890.7;887.3;-51.523;-5.462;13.375
908;904.4;-54.047;-5.774;13.375
908;904.4;-54.047;-5.774;9.625
962.4;958.2;-61.98;-6.755;9.625
1005.4;1000.8;-68.216;-7.595;9.625
1044;1038.9;-73.937;-8.281;9.625
1062;1056.7;-76.636;-8.59;9.625
