MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
145.9;0;0;145.9;3.532;-3.169;0
153.4;0.15;253.69;153.4;3.523;-3.172;0.6
221;0.26;163.61;221;3.531;-3.333;0.13
234.2;0.28;146.02;234.2;3.532;-3.365;0.19
274.6;0.78;136.21;274.6;3.777;-3.646;0.38
315;1.46;128.29;315;4.371;-4.163;0.52
355.3;3.41;124.07;355.3;5.767;-5.153;1.46
395.7;5.13;126.98;395.5;8.206;-6.912;1.29
436.1;5.52;139.07;435.8;10.921;-9.467;0.88
474.4;5.62;152.33;473.9;12.999;-12.52;1.01
514.8;6.19;163.05;514.1;14.553;-16.355;0.92
557.1;7.03;171.79;556.1;15.588;-21.099;0.93
597.5;7.74;174.05;596.2;16.223;-26.252;0.57
637.8;8.49;174.54;636.1;16.787;-31.912;0.56
678.2;8.94;175.57;676;17.313;-38.011;0.35
718.5;9.34;177.45;715.8;17.701;-44.4;0.37
758.9;10.22;185.51;755.6;17.502;-51.243;1.21
799.3;11.89;193.59;795.2;16.18;-58.857;1.69
839.7;13.68;199.13;834.6;13.636;-67.417;1.61
880;15.14;201.54;873.7;10.142;-76.815;1.17
920.4;13.72;203.3;912.8;6.31;-86.123;1.1
960.8;14.53;201.31;952;2.573;-95.245;0.7
1001.1;16.51;200.62;990.8;-1.281;-105.315;1.48
1041.6;16.33;201.19;1029.7;-5.366;-116.01;0.18
1081.9;16.18;205.25;1068.3;-9.809;-126.371;0.85
1122.3;17.54;211.88;1107;-15.426;-136.633;1.75
1162.6;17.66;221.21;1145.4;-22.662;-146.39;2.1
1203;16.05;230.28;1184.1;-30.997;-154.571;2.29
1243.3;15.33;232.77;1222.9;-39.524;-161.354;0.73
1283.8;18.17;237.03;1261.7;-49.087;-168.032;2.29
1324.1;21.21;241.08;1299.6;-60.743;-174.978;2.48
1364.5;24.71;243.03;1336.8;-74.67;-182.344;2.66
1368;25.13;243.01;1340;-76.028;-183.037;3.63
1383;26.95;242.95;1353.5;-81.85;-186.005;3.63
1406;25.71;234.7;1374.1;-90.567;-191.26;5.04
1445;24.44;222.89;1409.4;-102.971;-202.067;3.97
1487;21.59;210.72;1448.1;-112.839;-215.086;3.95
1544;20.56;192.78;1501.4;-120.418;-233.882;3.43
1584;21.08;181.1;1538.8;-122.111;-247.93;3.13
1625;21.07;170.97;1577;-121.095;-262.586;2.66
1665;20.92;159.85;1614.4;-117.505;-276.396;2.99
1705;22.16;151.36;1651.6;-111.428;-289.725;2.51
1746;24.79;147.7;1689.2;-103.127;-303.78;2.2
1786;27.24;144.45;1725.2;-93.321;-318.32;2.13
1827;27.7;143.46;1761.5;-82.192;-333.61;0.47
1867;28.14;143.47;1796.9;-71.042;-348.659;0.33
1907;27.08;143.1;1832.3;-59.96;-363.52;0.81
1948;27.31;143.53;1868.8;-48.766;-378.547;0.22
1988;27.71;143.72;1904.3;-37.809;-393.423;0.31
2028;27.86;145;1939.6;-26.945;-408.576;0.46
2069;27.42;149.82;1976;-16.703;-424.586;1.67
2109;26.74;154.96;2011.6;-8.263;-440.703;1.83
2149;25.09;162.89;2047.6;-1.957;-456.968;2.88
2190;24.05;170.43;2084.9;1.991;-473.519;2.42
2230;24.4;174.59;2121.4;4.125;-489.783;1.31
2270;23.87;181.76;2157.9;4.656;-506.101;2.23
2311;24.72;188.97;2195.2;3.064;-522.865;2.26
2351;25.05;194.2;2231.5;-0.318;-539.338;1.67
2392;25.95;202.77;2268.6;-5.921;-556.03;2.78
2432;27.22;209.99;2304.3;-13.883;-572.028;2.6
2486;28.73;219.32;2352;-28.288;-592.776;2.57
2513;30.35;223.67;2375.5;-37.112;-602.732;2.99
2562;33.17;229.59;2417.2;-55.928;-620.373;2.57
2563.5;33.26;229.77;2418.4;-56.496;-620.906;2.63
2603.8;32.08;231.01;2452.4;-73.26;-634.784;1.01
2644.2;27.57;233.84;2487.4;-89.136;-647.042;3.51
2684.5;25.99;233.83;2523.4;-103.795;-657.757;1.18
2724.8;22.08;234.57;2560.2;-117.106;-667.368;2.92
2765.1;16.67;243.57;2598.2;-128.471;-674.342;4.59
2803.1;13.75;248.58;2634.9;-137.563;-678.42;2.52
2852;11.69;248.05;2682.6;-147.567;-682.394;1.27
2892.4;12.47;247.23;2722.1;-155.385;-685.612;0.59
2915;12.61;249.01;2744.1;-159.996;-687.372;0.55
2939.7;12.77;250.95;2768.3;-165.043;-689.298;0.55
2969.8;13.62;261.5;2797.5;-171.676;-690.904;2.55
2997.1;15.39;260.2;2824;-178.445;-691.999;1.97
3038.4;18.98;261.37;2863.5;-190.489;-693.94;2.62
3078.3;19.82;259.28;2901;-203.528;-696.168;0.82
3118.3;21.94;256.07;2938.4;-217.45;-699.229;1.81
3158.5;22.35;256.2;2975.7;-232.184;-702.866;0.31
3199;21.27;256.14;3013.3;-246.787;-706.461;0.8
3211.8;20.98;255.56;3025.2;-251.246;-707.585;0.84
3231;20.98;255.56;3043.1;-257.91;-709.301;0
