MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
145.9;0;0;145.9;3.532;-3.169;0
153.4;0.15;253.69;153.4;3.523;-3.172;0.6
221;0.26;163.61;221;3.531;-3.333;0.13
234.2;0.28;146.02;234.2;3.532;-3.365;0.19
274.6;0.78;136.21;274.6;3.777;-3.646;0.38
315;1.46;128.29;315;4.371;-4.163;0.52
355.3;3.41;124.07;355.3;5.767;-5.153;1.46
395.7;5.13;126.98;395.5;8.206;-6.912;1.29
436.1;5.52;139.07;435.8;10.921;-9.467;0.88
474.4;5.62;152.33;473.9;12.999;-12.52;1.01
514.8;6.19;163.05;514.1;14.553;-16.355;0.92
557.1;7.03;171.79;556.1;15.588;-21.099;0.93
597.5;7.74;174.05;596.2;16.223;-26.252;0.57
637.8;8.49;174.54;636.1;16.787;-31.912;0.56
678.2;8.94;175.57;676;17.313;-38.011;0.35
718.5;9.34;177.45;715.8;17.701;-44.4;0.37
758.9;10.22;185.51;755.6;17.502;-51.243;1.21
799.3;11.89;193.59;795.2;16.18;-58.857;1.69
839.7;13.68;199.13;834.6;13.636;-67.417;1.61
880;15.14;201.54;873.7;10.142;-76.815;1.17
920.4;13.72;203.3;912.8;6.31;-86.123;1.1
960.8;14.53;201.31;952;2.573;-95.245;0.7
1001.1;16.51;200.62;990.8;-1.281;-105.315;1.48
1041.6;16.33;201.19;1029.7;-5.366;-116.01;0.18
1081.9;16.18;205.25;1068.3;-9.809;-126.371;0.85
1122.3;17.54;211.88;1107;-15.426;-136.633;1.75
1162.6;17.66;221.21;1145.4;-22.662;-146.39;2.1
1203;16.05;230.28;1184.1;-30.997;-154.571;2.29
1243.3;15.33;232.77;1222.9;-39.524;-161.354;0.73
1283.8;18.17;237.03;1261.7;-49.087;-168.032;2.29
1324.1;21.21;241.08;1299.6;-60.743;-174.978;2.48
1364.5;24.71;243.03;1336.8;-74.67;-182.344;2.66
1368;24.32;243.31;1340;-75.914;-182.952;3.53
1389.4;21.9;245.03;1359.7;-83.52;-186.666;3.51
1409.8;21.44;249.87;1378.6;-90.47;-189.555;2.71
1469.5;19.8;266.07;1434.6;-110.82;-194.007;2.97
1510;18.51;273.32;1472.8;-124.084;-194.105;2
1551;16.25;280.28;1512;-136.228;-192.704;2.24
1591;15.05;294.29;1550.5;-146.472;-189.567;2.97
1631.1;15.19;309.35;1589.2;-155.284;-184.093;2.93
1672.1;15.54;316.07;1628.7;-163.248;-176.731;1.33
1712.7;16.89;323.84;1667.7;-170.503;-168.051;1.89
1753.2;18.95;335.44;1706.3;-176.71;-157.315;3.05
1792.9;20.66;344.61;1743.6;-181.25;-144.696;2.68
1833.5;22.98;351.87;1781.3;-184.272;-129.94;2.63
1874;25.39;357.35;1818.3;-185.792;-113.436;2.44
1914.8;27.17;2.38;1854.9;-185.81;-95.387;2.1
1955.1;29.95;3.22;1890.3;-184.862;-76.146;2.09
1995.5;30.21;3.94;1925.2;-183.597;-55.937;0.33
2035.6;30.21;4.37;1959.9;-182.135;-35.813;0.16
2075.6;30.2;4.6;1994.4;-180.562;-15.751;0.09
2116;29.79;3.84;2029.4;-179.075;4.391;0.42
2156.5;29.75;3.56;2064.6;-177.777;24.458;0.11
2196.7;29.77;4.21;2099.5;-176.425;44.366;0.24
2277.4;29.78;4.76;2169.5;-173.291;84.318;0.1
2318.1;29.89;3.51;2204.8;-171.832;104.513;0.47
2334.7;29.84;3.86;2219.2;-171.3;112.762;0.33
2398.9;29.97;9.05;2274.9;-167.702;144.539;1.21
2438.6;29.98;13.28;2309.3;-163.864;163.987;1.6
2477.5;29.97;17.83;2343;-158.655;182.699;1.75
2519.9;29.99;25.3;2379.7;-150.881;202.368;2.64
2560.9;30.41;32.46;2415.2;-140.929;220.393;2.65
2599.9;29.95;36.04;2448.9;-129.903;236.595;1.43
2612;30.08;36.62;2459.4;-126.268;241.457;0.79
2630.6;30.28;37.52;2475.5;-120.68;248.931;0.8
2670.5;34.29;42.15;2509.2;-107.004;265.251;3.54
2711.4;38.53;44.94;2542.1;-90.265;282.819;3.34
2752.1;42;46.98;2573.1;-71.349;301.089;2.74
2792.4;46.02;47.94;2602.1;-50.717;320.009;3.03
2832.7;50.32;47.55;2629;-28.499;340.199;3.21
2873.3;54.93;46.75;2653.6;-4.856;362.14;3.44
2913.3;59.1;46.48;2675.4;19.521;385.183;3.13
2953.6;62.83;48.54;2695;45.505;408.969;3.08
2993.3;62.91;52.42;2713.1;72.753;431.446;2.61
3033.8;62.98;56.67;2731.5;102.124;452.361;2.8
3074.5;62.98;61.23;2750;133.174;471.055;2.99
3114.7;63.5;66.91;2768.1;165.439;486.738;3.8
