MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
145.9;0;0;145.9;-3.534;3.165;0
150.2;0;0;150.2;-3.534;3.165;0
160.5;0;0;160.5;-3.534;3.165;0
170;0;0;170;-3.534;3.165;0
179.8;0;0;179.8;-3.534;3.165;0
189.7;0;0;189.7;-3.534;3.165;0
198.5;0;0;198.5;-3.534;3.165;0
210.7;0;0;210.7;-3.534;3.165;0
221;0.7;115.73;221;-3.674;3.253;2.05
237.6;1.84;302.24;237.6;-3.899;3.396;4.59
251.1;1.91;304.7;251.1;-4.268;3.639;0.24
264.9;2.47;305.76;264.9;-4.698;3.944;1.22
279.2;2.05;306.81;279.2;-5.153;4.277;0.89
292.7;1.8;304;292.7;-5.522;4.54;0.59
302.8;1.13;330.72;302.8;-5.702;4.716;2.79
315.5;1.41;333.18;315.5;-5.834;4.965;0.67
332.2;2.4;314.19;332.1;-6.177;5.392;2.09
342.2;2.78;301.18;342.1;-6.535;5.663;2.09
358.5;3.3;293.1;358.4;-7.305;6.052;1.24
378;3.07;298.6;377.9;-8.279;6.522;0.59
414.8;3.3;293.64;414.6;-10.115;7.419;0.29
455.4;3.07;292.72;455.2;-12.188;8.307;0.17
495.4;2.84;290.41;495.1;-14.105;9.066;0.19
535.6;2.77;293.07;535.3;-15.932;9.794;0.11
575.8;3.06;287.04;575.4;-17.852;10.489;0.31
616.5;4.01;305.32;616;-20.052;11.631;1.08
656.8;6.13;317.8;656.2;-22.647;14.04;1.77
697.1;8.24;324.71;696.2;-25.761;17.991;1.69
720;9.57;322.37;718.8;-27.872;20.838;1.81
737.4;10.71;320.81;735.9;-29.776;23.237;2.02
756.8;10.39;320.18;755;-32.036;25.978;0.53
798.9;9.88;320.5;796.4;-36.764;31.681;0.37
838.3;10.04;315.72;835.2;-41.312;36.748;0.64
868;11.16;309.73;864.4;-45.33;40.439;1.59
878.2;11.28;310.41;874.4;-46.849;41.716;0.53
918;10.7;315.76;913.5;-52.391;46.887;0.88
999;8.88;319.88;993.3;-61.666;57.056;0.72
1079.8;9.07;320.34;1073.1;-69.75;66.728;0.08
1120.4;11.38;312.16;1113.1;-74.762;71.881;2.01
1160.8;11.86;307.61;1152.7;-81.006;77.09;0.77
1201;11.69;307.74;1192;-87.499;82.103;0.13
1241.4;12.44;309.36;1231.5;-94.1;87.368;0.61
1281.8;12.06;309.62;1271;-100.715;92.819;0.29
1322.4;10.85;310.25;1310.8;-106.899;97.993;0.9
1335.6;10.17;309.34;1323.8;-108.749;99.535;1.59
