MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
145.9;0;0;145.9;1.114;-1.956;0
218.5;0.26;197.21;218.5;1.065;-2.113;0.11
221;0.26;200.8;221;1.06;-2.119;0.2
259;0.18;255.31;259;0.977;-2.217;0.17
299.5;0.35;240.89;299.5;0.807;-2.293;0.13
340;0.44;34.96;340;0.788;-2.226;0.57
394.3;0.35;344.16;394.3;0.862;-1.896;0.19
420.4;0.35;352.69;420.4;0.83;-1.74;0.06
460.6;0.35;35.05;460.6;0.885;-1.517;0.19
500.8;0.35;36.99;500.8;1.03;-1.319;0.01
540.9;2.9;101.32;540.9;2.098;-1.42;2.07
580.4;3.87;101.23;580.3;4.386;-1.876;0.74
620.8;5.63;104.05;620.6;7.645;-2.623;1.32
661.5;7.13;89.02;661;12.108;-3.064;1.65
701.8;8.71;83.48;700.9;17.641;-2.675;1.3
742.2;11.7;82.34;740.7;24.742;-1.781;2.23
782.6;11.17;79.17;780.3;32.645;-0.5;0.61
823;11.44;73.46;819.9;40.329;1.376;0.85
863.3;11.61;68.27;859.4;47.928;4.015;0.78
902.6;10.03;74.43;898;54.899;6.398;1.49
910;9.97;74.49;905.3;56.111;6.73;0.24
968;9.52;74.93;962.5;65.611;9.334;0.24
1008.5;9.41;75.46;1002.4;72.046;11.035;0.1
1048.9;9.61;76.13;1042.2;78.51;12.671;0.17
1064;9.61;76.13;1057.1;80.964;13.277;0
